date,total,free,in-use
2018-09-12 07:25:01,16,16,0
2018-09-12 07:30:01,16,16,0
2018-09-12 07:35:01,16,16,0
2018-09-12 07:40:01,16,16,0
2018-09-12 07:45:01,16,16,0
2018-09-12 07:50:01,16,16,0
2018-09-12 07:55:02,16,16,0
2018-09-12 08:00:01,16,16,0
2018-09-12 08:05:01,16,16,0
2018-09-12 08:10:01,16,16,0
2018-09-12 08:15:01,16,16,0
2018-09-12 08:20:01,16,16,0
2018-09-12 08:25:01,16,16,0
2018-09-12 08:30:01,16,16,0
2018-09-12 08:35:01,16,16,0
2018-09-12 08:40:01,16,16,0
2018-09-12 08:45:01,16,16,0
2018-09-12 08:50:01,16,16,0
2018-09-12 08:55:01,16,16,0
